score	published	tickers
0.375	2022-07-26	BABA
0.08000000000000002	2022-07-13	AAPL
-0.3513513513513513	2022-06-10	ADS@DE
0.8787878787878789	2022-07-27	UPRO
0.8095238095238095	2022-07-29	ENRU
-0.47368421052631576	2022-07-27	NVTK
0.09677419354838707	2022-07-28	NVTK
-0.3125	2022-07-29	MSNG
0.6521739130434783	2022-07-26	MGNT
0.8421052631578947	2022-07-28	LENT
0.8867924528301887	2022-07-26	LKOH
0.7826086956521738	2022-07-27	KAZT
-0.3333333333333333	2022-07-30	GAZP
-0.21428571428571425	2022-07-29	GAZP
0.574468085106383	2022-07-26	GAZP
0.7142857142857142	2022-07-27	AFLT
